GRUPO;NOMBRE TOUR;AÑO ;MES ;PAÍS;CIUDAD ;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;9;Tailandia;Bangkok;Impact Arena;12000;83,40 USD;202,53 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;9;Filipinas;Bulacan;Philippine Arena;55000;30,96 USD;309,62 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;11;Australia;Melbourne;Marvel Stadium;53343;132,34 USD;234,26 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;12;Japón;Nagoya;Vantelin Dome Nagoya;50619;69,84 USD;90,80 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;12;Indonesia;Yakarta;Jakarta International Stadium;82000;71,20 USD;213,61 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;12;Japón;Fukuoka;PayPay Dome;40000;69,84 USD;90,80 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2024;2;México;Ciudad de México;Foro Sol;65000;25,49 USD;244,70 USD
TWICE;"TWICE 5th World Tour ""Ready To Be""";2024;2;Brasil;Sao Paulo;Allianz Parque;43713;80,62 USD;161,24 USD
TWICE;"TWICE 5th World Tour ""Ready To Be"" Japan Special";2024;7;Japón;Osaka;Yanmar Stadium Nagai;50000;90,61 USD;160,32 USD
TWICE;"TWICE 5th World Tour ""Ready To Be"" Japan Special";2024;7;Japón;Tokio;Ajinomoto Stadium;48013;90,61 USD;160,32 USD
TWICE;"TWICE 5th World Tour ""Ready To Be"" Japan Special";2024;7;Japón;Yokohama;Nissan Stadium;72327;90,61 USD;160,32 USD
SEVENTEEN;"Like SEVENTEEN ""Boys Wish""";2015;12;Corea del Sur;Seúl;Yongsan Art Hall;1085;Sin datos;Sin datos
SEVENTEEN;"Like SEVENTEEN ""Boys Wish"" Encore Concert";2016;2;Corea del Sur;Seúl;SK Olympic HandBall Gymnasium;6500;Sin datos;Sin datos
SEVENTEEN;"Like SEVENTEEN ""Shining Diamond""";2016;7;Corea del Sur;Seúl;Jamsil Indoor Stadium;11069;Sin datos;Sin datos
SEVENTEEN;"Like SEVENTEEN ""Shining Diamond""";2016;8;Japón;Osaka;Gran Cube Osaka;2754;Sin datos;Sin datos
SEVENTEEN;"Like SEVENTEEN ""Shining Diamond""";2016;8;Japón;Tokio;Nakano Sun Plaza ;2222;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN 1st Asia Tour ""Shining Diamond""";2016;8;Singapur;Singapur;MegaBox Convention Centre;2333;104,84 USD;180,80 USD
SEVENTEEN;"SEVENTEEN 1st Asia Tour ""Shining Diamond""";2016;8;Filipinas;Manila ;Solaire Grand Theatre;1740;70,72 USD;123,76 USD
